Name,Type,Description,Website,Facebook,Instagram,Audience Network,Messenger,Date
Tech Wire Asia,News & media website,Where technology and business intersect,http://techwireasia.com/,true,true,true,true,06-2023
Wenvoid Tech,Consulting agency,-,https://wenvoid.com/,true,true,true,true,06-2023
Tetra Tech,Consulting agency,"Tetra Tech is a leading, global provider of consulting and engineering services. We are differentiated by Leading with Science® to provide innovative technical solutions to our clients.",http://www.tetratech.com/,true,true,true,true,06-2023
Veltech Deemed to be University,Education,A Place To Progress & Prosper,https://bit.ly/3ngXwlp,true,true,true,true,06-2023
Tetra Tech,Consulting agency,"Tetra Tech is a leading, global provider of consulting and engineering services. We are differentiated by Leading with Science® to provide innovative technical solutions to our clients.",http://www.tetratech.com/,true,true,true,true,06-2023
Farming Expert,Agricultural service,we provide various agricultural services to farms and farmers,http://www.techfarms.in/,true,true,true,true,06-2023
Tech Wire Asia,News & media website,Where technology and business intersect,http://techwireasia.com/,true,true,true,true,06-2023
Tetra Tech,Consulting agency,"Tetra Tech is a leading, global provider of consulting and engineering services. We are differentiated by Leading with Science® to provide innovative technical solutions to our clients.",http://www.tetratech.com/,true,true,true,true,06-2023
Tech Wire Asia,News & media website,Where technology and business intersect,http://techwireasia.com/,true,true,true,true,06-2023
IE University,University,"Welcome to the official page of IE University undergraduate education
#goingtoIEU",http://www.ie.edu/,true,true,true,true,06-2023
DAO EVTech,Motorcycle manufacturer,"Dao EV Tech is a smart electric mobility manufacturing startup with the mission to deliver reliable, high quality & innovative products through the ‘Make in India’ initiative with a mission to mature the EV industry in India

Ride Electric, Ride a Dao",http://www.daoev.com/,true,true,true,true,06-2023
DAO EVTech,Motorcycle manufacturer,"Dao EV Tech is a smart electric mobility manufacturing startup with the mission to deliver reliable, high quality & innovative products through the ‘Make in India’ initiative with a mission to mature the EV industry in India

Ride Electric, Ride a Dao",http://www.daoev.com/,true,true,true,true,06-2023
